FEN,Moves,MateIn,Winner
2r3k1/pp3pQp/4p1pB/8/1P6/q1b4P/5PP1/2R3K1 b - - 1 25,c3g7 c1c8 g7f8 c8f8,2,White
3r1r2/pb2qpkp/1pp1p1p1/3nPN2/3P4/P4BPR/1P3PP1/2QR1K2 b - - 1 25,e6f5 c1h6 g7h8 h6h7,2,White
8/2R4p/6pk/5p2/1rBP1KPP/4PP2/8/2r5 b - - 0 41,b4c4 g4g5 h6h5 c7h7,2,White
6k1/R1pb1pp1/5q2/3P4/1pP2PP1/8/4K3/7R b - - 0 34,f6f4 a7a8 d7c8 a8c8,2,Black
6k1/1p4p1/6P1/8/P3q2p/3r4/2R4K/8 b - - 2 56,d3g3 c2c8 e4e8 c8e8,2,Black
r3rkR1/pbp2p1p/1pq2B2/8/2P5/P2P4/1P3PPP/R2Q2K1 b - - 4 23,f8g8 d1g4 g8f8 g4g7,2,White
8/2pQP3/1pP3kp/1P6/4qp2/1B2p3/1P4KP/4R3 w - - 1 41,g2h3 e4f3 h3h4 f3h5,2,White
2r5/1b3pkp/p3p2Q/2qpP3/3N3R/7P/P5PK/q7 b - - 1 28,g7g8 h4g4 g8h8 h6f6,2,White
6k1/p6p/2p1q1pB/3B4/3b4/P4QP1/1r5P/5R1K b - - 1 27,e6d5 f3d5 c6d5 f1f8,2,White
r2q2kQ/p2nb1p1/bp2p3/3pP1P1/5r2/2P5/PP3PP1/R3K2R b KQ - 1 18,g8f7 g5g6 f7g6 h8h5,2,White
8/p7/4B1bk/1q2Qp1r/3P4/2R5/1r4P1/5RK1 w - - 1 36,c3g3 b5f1 g1f1 h5h1,2,White
7k/6pp/5p2/3p1Q1P/4r3/8/1pqN4/1R5K b - - 0 45,c2d2 f5c8 e4e8 c8e8,2,Black
6k1/pb3p2/6pQ/3q4/8/3Br3/PPP3PP/5R1K w - - 1 29,f1g1 d5g2 g1g2 e3e1 d3f1 e1f1,3,Black
Q5k1/5ppp/4p2b/rqp1P3/8/1PB1P3/2PP2PP/R5K1 b - - 0 26,a5a8 a1a8 b5b8 a8b8,2,White
4kR2/1b1pb2p/pQ2N3/4P1rq/3n3P/8/PPP3P1/R6K b - - 6 25,e7f8 b6d8 e8f7 d8f6 f7g8 f6f8,3,White
4r3/8/8/p1p3p1/3R2k1/6N1/r5PP/3R3K b - - 0 33,c5d4 d1d4 e8e4 d4e4,2,White
2r1r1k1/p2q1p1p/2p2P2/7Q/4B3/3P2P1/PP4KP/n7 b - - 2 28,e8e4 h5g5 g8f8 g5g7 f8e8 g7g8,3,White
3R4/2k3p1/1p3pQp/1q5P/3P1N2/4PPP1/6K1/4r3 w - - 17 46,g6e8 b5f1 g2h2 f1h1,2,White
1r1r3k/Q3R1pp/4P3/5p2/6qP/4P1K1/P4PP1/7R w - - 4 27,g3h2 g4h4 h2g1 b8b1,2,Black
2r3k1/pp2Qppp/8/3p4/2rP4/6PP/PP6/K1qR2R1 w - - 5 25,d1c1 c4c1 g1c1 c8c1,2,Black
